Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Alperen Sengun,2021-10-20,HOU,@,MIN,18:34,11,6,2,3,0,.750,,.887,19.5,7.8,3,1.000,132,106,12.2
Alperen Sengun,2021-10-22,HOU,,OKC,17:47,6,4,1,1,2,.600,.000,.551,26.1,-14.8,6,.000,55,80,0.4
Alperen Sengun,2021-10-24,HOU,,BOS,19:26,7,4,4,3,1,.200,.000,.458,20.6,6.7,1,.833,105,92,8.2
Alperen Sengun,2021-10-26,HOU,@,DAL,14:25,5,1,2,2,0,.250,.500,.434,19.7,1.2,1,.500,91,106,4.1
Alperen Sengun,2021-10-28,HOU,,UTA,23:56,14,5,0,3,0,.417,1.000,.509,25.5,3.0,1,.750,102,112,10.3
Alperen Sengun,2021-10-31,HOU,@,LAL,20:15,11,7,2,3,0,.429,.000,.571,28.4,4.5,4,.833,92,80,9.0
Alperen Sengun,2021-11-02,HOU,@,LAL,25:45,6,4,4,1,0,.429,.000,.429,18.6,-10.3,5,,75,114,1.5
Alperen Sengun,2021-11-04,HOU,@,PHO,22:33,10,4,5,1,0,.400,.500,.460,23.2,-0.6,2,.500,96,117,6.3
Alperen Sengun,2021-11-06,HOU,@,DEN,13:53,9,4,3,0,1,.750,1.000,.922,16.6,18.5,0,1.000,193,97,9.8
Alperen Sengun,2021-11-07,HOU,@,GSW,16:26,12,5,1,0,1,.750,1.000,.647,30.8,0.5,3,.417,99,118,7.5
Alperen Sengun,2021-11-10,HOU,,DET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alperen Sengun,2021-11-12,HOU,,POR,18:40,12,4,0,0,1,.667,1.000,.773,20.5,5.5,1,.750,138,106,9.5
Alperen Sengun,2021-11-14,HOU,,PHO,21:37,10,10,4,0,1,.667,.000,.683,17.9,8.0,2,.667,121,107,11.5
Alperen Sengun,2021-11-15,HOU,@,MEM,17:44,9,5,1,1,1,.333,.000,.402,24.6,-3.4,0,.600,101,123,7.0
Alperen Sengun,2021-11-17,HOU,@,OKC,5:02,0,2,0,0,0,.000,,.000,25.5,-25.7,1,,37,110,-1.0
Alperen Sengun,2021-11-20,HOU,@,NYK,23:34,10,6,3,0,0,.500,1.000,.563,15.6,3.0,0,.500,136,114,9.1
Alperen Sengun,2021-11-22,HOU,@,BOS,20:52,8,6,7,2,0,.500,.000,.581,19.0,10.1,2,1.000,116,97,10.1
Alperen Sengun,2021-11-24,HOU,,CHI,16:11,13,4,2,1,0,.571,.667,.707,26.4,8.1,1,.600,134,105,10.7
Alperen Sengun,2021-11-27,HOU,,CHO,12:20,5,5,4,0,2,.667,.000,.644,27.8,-0.4,4,.500,99,125,5.0
Alperen Sengun,2021-11-29,HOU,,OKC,17:06,4,5,3,1,0,.667,,.667,9.9,1.7,1,,123,84,5.9
Alperen Sengun,2021-12-01,HOU,@,OKC,13:25,5,2,4,2,2,.500,,.563,14.9,13.3,0,1.000,151,95,8.2
Alperen Sengun,2021-12-03,HOU,,ORL,18:33,13,3,5,0,1,.500,.333,.716,24.0,10.2,1,.857,150,118,13.7
Alperen Sengun,2021-12-05,HOU,,NOP,16:59,10,4,1,1,1,.429,.000,.571,26.1,-2.9,1,1.000,129,118,8.1
Alperen Sengun,2021-12-08,HOU,,BRK,14:22,6,2,1,0,0,.400,.000,.510,18.4,-7.4,0,1.000,125,118,4.2
Alperen Sengun,2021-12-10,HOU,,MIL,15:54,15,5,0,1,0,.750,,.705,30.9,1.8,1,.500,128,120,11.3
Alperen Sengun,2021-12-11,HOU,@,MEM,22:36,15,6,6,1,3,.625,,.735,26.5,14.5,3,1.000,134,109,16.7
Alperen Sengun,2021-12-13,HOU,@,ATL,24:48,11,6,4,1,2,.400,.000,.468,20.8,-2.3,1,.750,119,119,10.4
Alperen Sengun,2021-12-15,HOU,@,CLE,27:34,19,11,5,2,1,.500,.000,.571,29.7,11.5,2,.833,117,122,20.3
Alperen Sengun,2021-12-16,HOU,,NYK,15:24,1,2,1,0,2,.000,.000,.129,25.0,-26.3,4,.500,22,128,-4.0
Alperen Sengun,2021-12-18,HOU,@,DET,22:06,9,5,4,0,2,.375,.000,.483,18.8,-1.3,1,1.000,127,110,9.3
Alperen Sengun,2021-12-20,HOU,@,CHI,19:17,8,5,2,1,0,.600,1.000,.680,26.4,-12.3,5,.500,85,137,3.8
Alperen Sengun,2021-12-22,HOU,@,MIL,23:48,10,8,4,0,0,.667,,.644,20.7,-3.6,4,.500,102,127,8.2
Alperen Sengun,2021-12-23,HOU,@,IND,20:17,10,8,3,1,2,.500,.000,.500,25.2,2.9,1,,120,120,11.3
Alperen Sengun,2021-12-27,HOU,@,CHO,21:10,5,6,3,0,2,.400,,.425,19.3,-11.1,4,.500,77,120,2.4
Alperen Sengun,2021-12-28,HOU,,LAL,15:18,10,2,0,0,1,.625,,.592,27.4,-12.3,1,.000,102,135,5.1
Alperen Sengun,2021-12-31,HOU,,MIA,6:37,6,1,1,0,1,1.000,1.000,1.087,23.0,17.6,1,.750,155,116,5.2
Alperen Sengun,2022-01-01,HOU,,DEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
