Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Anthony Edwards,2021-10-20,MIN,,HOU,31:11,29,6,3,1,0,.476,.500,.637,34.7,0.6,4,.750,116,108,18.8
Anthony Edwards,2021-10-23,MIN,,NOP,36:57,19,9,5,1,1,.364,.375,.432,25.0,4.7,1,,100,88,14.5
Anthony Edwards,2021-10-25,MIN,,NOP,40:28,28,9,3,1,0,.435,.364,.565,29.2,0.7,3,1.000,104,110,17.1
Anthony Edwards,2021-10-27,MIN,@,MIL,33:14,25,7,3,1,0,.375,.200,.469,35.8,-2.5,2,.833,99,109,14.2
Anthony Edwards,2021-10-30,MIN,,DEN,34:08,14,11,1,0,0,.316,.000,.352,28.5,-8.4,3,1.000,77,100,5.3
Anthony Edwards,2021-11-01,MIN,,ORL,36:43,24,6,3,2,0,.455,.250,.505,28.7,3.0,2,.500,104,117,16.1
Anthony Edwards,2021-11-03,MIN,,LAC,38:02,28,3,6,3,1,.524,.300,.627,30.5,3.9,6,1.000,108,122,20.5
Anthony Edwards,2021-11-05,MIN,,LAC,31:38,17,1,3,2,3,.318,.250,.379,32.8,3.3,2,.000,74,100,6.9
Anthony Edwards,2021-11-08,MIN,@,MEM,42:59,27,5,3,3,0,.409,.444,.538,29.9,0.4,4,.714,104,123,16.2
Anthony Edwards,2021-11-10,MIN,@,GSW,41:45,48,6,5,2,0,.593,.538,.743,36.4,17.2,6,.750,128,126,36.0
Anthony Edwards,2021-11-12,MIN,@,LAL,32:00,9,3,1,1,0,.364,.200,.409,20.8,-12.0,5,,59,90,-0.3
Anthony Edwards,2021-11-13,MIN,@,LAC,34:00,21,11,3,0,0,.409,.333,.459,31.9,-5.7,4,.500,85,127,11.0
Anthony Edwards,2021-11-15,MIN,,PHO,39:11,9,12,6,1,3,.182,.167,.330,20.9,-2.4,6,.667,69,94,5.4
Anthony Edwards,2021-11-17,MIN,,SAC,39:31,26,5,1,0,1,.458,.400,.542,28.4,-1.1,1,,112,111,14.3
Anthony Edwards,2021-11-18,MIN,,SAS,33:00,13,5,6,2,2,.455,.375,.591,20.9,3.2,4,,108,95,11.6
Anthony Edwards,2021-11-20,MIN,,MEM,26:02,23,0,2,0,0,.800,.833,1.057,18.8,13.8,1,1.000,193,112,18.4
Anthony Edwards,2021-11-22,MIN,@,NOP,33:07,18,7,1,3,1,.375,.333,.495,24.9,2.0,3,.600,99,95,12.3
Anthony Edwards,2021-11-24,MIN,,MIA,43:09,33,14,6,3,1,.481,.400,.601,30.5,9.4,5,1.000,111,95,25.2
Anthony Edwards,2021-11-26,MIN,@,CHO,27:31,11,5,2,1,0,.444,.250,.533,17.9,-6.4,2,.667,101,132,7.4
Anthony Edwards,2021-11-27,MIN,@,PHI,47:40,19,6,7,3,1,.381,.125,.434,25.4,-0.2,4,1.000,92,104,13.5
Anthony Edwards,2021-11-29,MIN,,IND,39:22,21,9,5,3,0,.368,.286,.485,24.8,4.5,0,.833,110,94,18.5
Anthony Edwards,2021-12-01,MIN,@,WAS,38:25,25,3,3,1,1,.412,.444,.609,26.4,4.8,3,.875,115,120,17.2
Anthony Edwards,2021-12-03,MIN,@,BRK,36:50,19,2,4,3,0,.438,.143,.535,28.3,-3.9,8,1.000,81,107,8.6
Anthony Edwards,2021-12-06,MIN,,ATL,40:03,20,1,7,2,3,.316,.333,.462,26.9,-1.0,4,1.000,98,127,14.0
Anthony Edwards,2021-12-08,MIN,,UTA,33:45,18,2,5,1,0,.438,.500,.533,21.6,0.6,1,.000,110,136,11.7
Anthony Edwards,2021-12-10,MIN,,CLE,32:33,13,4,2,2,1,.353,.125,.382,24.9,-7.1,3,,71,117,5.8
Anthony Edwards,2021-12-12,MIN,@,POR,29:07,24,4,3,1,0,.538,.286,.708,26.9,6.2,2,.889,134,111,18.0
Anthony Edwards,2021-12-15,MIN,@,DEN,33:34,38,5,1,1,1,.667,.714,.905,31.0,18.8,2,,148,109,30.0
Anthony Edwards,2021-12-17,MIN,,LAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Edwards,2021-12-19,MIN,,DAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Edwards,2021-12-21,MIN,@,DAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Edwards,2021-12-23,MIN,@,UTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Edwards,2021-12-27,MIN,,BOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Edwards,2021-12-28,MIN,,NYK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Edwards,2021-12-31,MIN,@,UTA,31:31,26,3,2,0,0,.429,.400,.560,34.1,-2.5,2,.800,106,126,12.4
Anthony Edwards,2022-01-02,MIN,@,LAL,37:38,18,7,4,1,1,.368,.000,.416,31.0,-10.0,8,.667,78,111,4.9
Anthony Edwards,2022-01-03,MIN,@,LAC,32:53,28,2,4,1,1,.647,.500,.803,27.5,7.8,4,1.000,126,105,21.2
Anthony Edwards,2022-01-05,MIN,,OKC,32:25,22,5,2,5,0,.471,.400,.600,26.2,12.3,2,.667,114,85,18.4
Anthony Edwards,2022-01-07,MIN,@,OKC,29:22,24,6,7,1,1,.563,.667,.750,22.5,14.7,0,,153,101,24.4
Anthony Edwards,2022-01-09,MIN,@,HOU,34:08,19,3,6,2,2,.412,.250,.519,22.3,-1.4,2,1.000,114,112,15.2
Anthony Edwards,2022-01-11,MIN,@,NOP,36:57,28,4,5,1,0,.476,.500,.640,28.7,1.9,3,1.000,123,132,19.6
Anthony Edwards,2022-01-13,MIN,@,MEM,38:04,30,2,4,1,0,.450,.455,.650,28.1,7.2,3,1.000,122,117,20.2
Anthony Edwards,2022-01-16,MIN,,GSW,27:54,9,1,2,1,1,.375,.500,.533,15.6,-1.7,2,1.000,89,99,6.0
Anthony Edwards,2022-01-18,MIN,@,NYK,39:20,21,3,3,2,0,.471,.222,.560,25.3,-3.4,4,.750,96,114,11.7
Anthony Edwards,2022-01-19,MIN,@,ATL,23:49,20,5,0,0,0,.438,.400,.592,27.7,2.3,0,1.000,135,138,13.1
Anthony Edwards,2022-01-23,MIN,,BRK,30:52,25,1,4,2,0,.471,.500,.636,28.0,4.2,1,.833,133,127,19.2
Anthony Edwards,2022-01-25,MIN,@,POR,38:44,40,9,0,3,3,.519,.385,.628,36.8,12.5,1,.636,123,100,30.7
Anthony Edwards,2022-01-27,MIN,@,GSW,37:20,27,6,6,1,2,.444,.182,.615,27.7,6.7,3,1.000,123,123,23.0
Anthony Edwards,2022-01-28,MIN,@,PHO,37:26,27,5,10,4,1,.450,.364,.596,27.8,12.4,1,.833,132,125,27.2
Anthony Edwards,2022-01-30,MIN,,UTA,35:35,15,3,4,1,0,.375,.222,.456,25.6,-10.9,5,1.000,79,112,5.9
Anthony Edwards,2022-02-01,MIN,,DEN,25:37,5,0,2,0,1,.250,.167,.313,13.1,-11.3,0,,83,123,1.9
Anthony Edwards,2022-02-03,MIN,@,DET,34:11,25,3,1,1,0,.429,.222,.539,31.2,-8.6,2,1.000,102,119,13.3
Anthony Edwards,2022-02-06,MIN,,DET,34:59,17,2,5,2,0,.333,.333,.533,19.9,1.2,0,.778,129,110,14.3
Anthony Edwards,2022-02-08,MIN,@,SAC,25:37,5,3,3,1,0,.167,.000,.194,22.6,-19.1,2,.500,60,111,-1.4
Anthony Edwards,2022-02-09,MIN,@,SAC,37:54,26,1,1,0,1,.400,.333,.486,31.4,-9.4,2,.750,88,130,10.2
Anthony Edwards,2022-02-11,MIN,@,CHI,37:05,31,6,8,0,1,.545,.333,.629,33.1,1.8,4,.667,114,135,22.9
Anthony Edwards,2022-02-13,MIN,@,IND,38:35,37,5,4,4,1,.520,.538,.659,35.4,9.7,3,.571,122,114,29.1
Anthony Edwards,2022-02-15,MIN,,CHO,17:50,9,4,1,1,1,.300,.167,.369,25.7,1.2,0,.400,91,103,6.0
Anthony Edwards,2022-02-16,MIN,,TOR,31:49,6,3,1,0,0,.000,.000,.242,19.5,-15.7,1,.600,53,112,-1.8
Anthony Edwards,2022-02-24,MIN,,MEM,31:39,5,4,7,0,2,.091,.000,.183,21.8,-10.3,3,.500,64,119,1.4
Anthony Edwards,2022-02-25,MIN,,PHI,37:46,15,3,5,1,1,.385,.167,.480,19.8,-1.3,2,.667,100,130,10.4
Anthony Edwards,2022-02-28,MIN,@,CLE,32:22,17,4,4,4,0,.538,.200,.612,24.7,-1.8,4,1.000,109,120,13.5
Anthony Edwards,2022-03-01,MIN,,GSW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Edwards,2022-03-04,MIN,@,OKC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Edwards,2022-03-05,MIN,,POR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Edwards,2022-03-07,MIN,,POR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Edwards,2022-03-09,MIN,,OKC,25:29,16,1,3,2,1,.467,.250,.533,32.1,-5.4,4,,85,97,8.6
Anthony Edwards,2022-03-11,MIN,@,ORL,34:26,25,3,5,1,0,.474,.364,.615,27.0,5.2,0,1.000,128,125,19.5
Anthony Edwards,2022-03-12,MIN,@,MIA,36:22,15,8,5,3,1,.400,.375,.638,15.2,8.8,1,1.000,129,95,17.8
Anthony Edwards,2022-03-14,MIN,@,SAS,30:21,5,3,3,1,1,.286,.500,.357,12.0,-7.1,2,,91,126,3.6
Anthony Edwards,2022-03-16,MIN,,LAL,32:02,27,6,4,2,1,.381,.545,.571,33.4,8.6,3,.833,123,102,19.0
Anthony Edwards,2022-03-19,MIN,,MIL,33:03,25,5,4,3,0,.563,.500,.741,22.7,9.8,1,1.000,141,112,23.3
Anthony Edwards,2022-03-21,MIN,@,DAL,38:05,19,6,3,0,0,.385,.600,.591,19.1,1.1,1,.857,124,121,14.0
Anthony Edwards,2022-03-23,MIN,,PHO,34:49,19,4,4,1,0,.412,.375,.531,25.9,-3.4,4,1.000,99,129,10.1
Anthony Edwards,2022-03-25,MIN,,DAL,32:17,12,6,4,1,0,.429,.000,.416,23.6,-4.7,2,.000,83,98,6.6
Anthony Edwards,2022-03-27,MIN,@,BOS,37:11,24,5,6,1,0,.563,.556,.730,26.8,2.5,5,1.000,112,138,17.3
Anthony Edwards,2022-03-30,MIN,@,TOR,31:37,24,8,4,1,1,.556,.571,.667,25.9,7.3,3,,116,119,18.1
Anthony Edwards,2022-04-01,MIN,@,DEN,40:01,18,8,7,1,0,.400,.429,.537,19.9,-1.9,2,.750,121,130,15.8
Anthony Edwards,2022-04-03,MIN,@,HOU,35:21,33,4,5,2,1,.571,.333,.711,29.5,4.6,2,1.000,138,123,27.7
Anthony Edwards,2022-04-05,MIN,,WAS,31:58,18,6,4,0,0,.471,.167,.516,26.3,-5.4,2,1.000,99,129,11.5
Anthony Edwards,2022-04-07,MIN,,SAS,39:12,49,6,8,1,0,.571,.429,.717,37.0,18.0,2,.786,148,118,41.0
Anthony Edwards,2022-04-10,MIN,,CHI,18:24,8,0,1,1,0,.375,.000,.450,22.7,-11.5,1,1.000,89,125,3.9
