Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Brandon Ingram,2023-10-25,NOP,@,MEM,35:57,19,7,6,2,0,.389,.000,.460,29.6,-5.3,5,.833,91,100,10.9
Brandon Ingram,2023-10-28,NOP,,NYK,31:54,26,7,3,1,0,.647,.333,.693,33.4,6.9,5,.750,109,89,17.5
Brandon Ingram,2023-10-30,NOP,,GSW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2023-11-01,NOP,@,OKC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2023-11-02,NOP,,DET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Ingram,2023-11-04,NOP,,ATL,31:32,16,7,3,0,1,.600,.333,.707,18.3,1.0,1,1.000,138,134,15.3
Brandon Ingram,2023-11-06,NOP,@,DEN,35:48,22,2,5,0,0,.455,.000,.481,34.1,-11.5,5,1.000,90,140,9.7
Brandon Ingram,2023-11-08,NOP,@,MIN,31:37,24,3,6,0,0,.440,.167,.472,34.8,1.5,2,1.000,96,124,13.6
Brandon Ingram,2023-11-10,NOP,@,HOU,38:41,31,6,5,0,1,.458,.273,.554,36.7,4.1,4,.667,106,109,18.6
Brandon Ingram,2023-11-12,NOP,,DAL,30:51,20,5,5,0,0,.529,.333,.533,25.7,-3.4,1,.250,114,130,13.7
Brandon Ingram,2023-11-14,NOP,,DAL,36:00,25,9,7,2,0,.550,.200,.599,26.0,3.0,2,1.000,126,107,23.4
Brandon Ingram,2023-11-17,NOP,,DEN,38:12,21,3,8,1,0,.474,.500,.540,25.4,-0.9,2,1.000,109,113,16.0
Brandon Ingram,2023-11-18,NOP,,MIN,33:56,30,7,4,1,0,.458,.167,.536,40.0,-2.9,4,.778,108,125,19.5
