Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Chet Holmgren,2023-10-25,OKC,@,CHI,25:07,11,4,3,1,0,.571,.667,.661,17.0,2.7,1,.333,123,105,9.0
Chet Holmgren,2023-10-27,OKC,@,CLE,30:50,16,13,2,1,7,.556,.750,.743,16.1,15.0,1,.750,138,83,20.7
Chet Holmgren,2023-10-29,OKC,,DEN,25:34,19,4,0,0,0,.583,.250,.690,25.9,1.1,1,1.000,129,139,13.6
Chet Holmgren,2023-10-30,OKC,,DET,24:02,14,4,3,2,4,.800,.800,1.190,16.1,15.4,3,1.000,148,97,15.2
Chet Holmgren,2023-11-01,OKC,,NOP,37:16,19,11,3,1,2,.571,.200,.638,22.7,2.4,5,1.000,100,104,14.8
Chet Holmgren,2023-11-03,OKC,,GSW,31:59,24,8,5,1,1,.778,1.000,.958,18.9,13.6,2,1.000,178,130,25.7
Chet Holmgren,2023-11-06,OKC,,ATL,33:52,16,12,3,1,3,.286,.333,.468,21.9,0.5,1,1.000,113,105,15.6
Chet Holmgren,2023-11-08,OKC,,CLE,29:17,15,7,2,1,3,.700,1.000,.750,17.4,4.6,2,,135,114,15.0
Chet Holmgren,2023-11-10,OKC,@,SAC,29:36,12,7,1,1,1,.417,.000,.450,25.5,-7.2,4,.667,72,102,5.3
Chet Holmgren,2023-11-12,OKC,@,PHO,33:07,18,6,4,0,2,.500,.500,.738,17.7,10.1,0,1.000,155,108,17.8
Chet Holmgren,2023-11-14,OKC,,SAS,29:39,9,7,3,2,1,.300,.200,.414,18.5,-4.5,2,1.000,81,81,7.3
Chet Holmgren,2023-11-16,OKC,@,GSW,27:06,13,10,2,0,2,.571,.000,.707,21.4,-2.6,4,1.000,107,103,11.1
Chet Holmgren,2023-11-18,OKC,@,GSW,36:57,36,10,5,2,2,.636,.400,.718,35.1,14.0,4,.857,132,110,32.5
Chet Holmgren,2023-11-19,OKC,@,POR,20:03,16,6,0,0,2,1.000,1.000,1.163,15.8,17.3,0,1.000,237,91,17.0
Chet Holmgren,2023-11-22,OKC,,CHI,31:47,18,13,2,1,4,.455,.000,.568,26.0,2.5,2,.727,124,102,19.0
Chet Holmgren,2023-11-25,OKC,,PHI,31:31,33,6,2,0,3,.619,.455,.754,30.7,17.0,1,1.000,144,130,27.0
Chet Holmgren,2023-11-28,OKC,@,MIN,33:50,16,8,6,1,1,.300,.375,.383,27.4,4.9,0,.500,95,108,12.3
Chet Holmgren,2023-11-30,OKC,,LAL,28:16,18,5,1,2,0,.533,.167,.583,26.8,-3.6,2,1.000,105,108,12.1
Chet Holmgren,2023-12-02,OKC,@,DAL,30:19,11,11,3,1,4,.400,.000,.468,17.9,1.0,2,.750,108,109,12.4
Chet Holmgren,2023-12-06,OKC,@,HOU,25:59,4,5,2,1,6,.222,.000,.222,17.5,-4.1,1,,55,102,5.2
Chet Holmgren,2023-12-08,OKC,,GSW,34:35,21,7,1,0,3,.500,.250,.677,23.1,-1.2,3,1.000,125,124,16.1
Chet Holmgren,2023-12-11,OKC,,UTA,25:02,16,8,2,1,2,.667,.667,.810,21.4,3.5,3,1.000,125,109,15.3
Chet Holmgren,2023-12-14,OKC,@,SAC,30:02,14,11,1,0,3,.500,.000,.543,17.5,-1.1,1,1.000,115,115,12.3
Chet Holmgren,2023-12-16,OKC,@,DEN,32:21,17,11,1,0,8,.500,.250,.581,21.6,7.3,1,.667,117,109,18.0
Chet Holmgren,2023-12-18,OKC,,MEM,24:54,17,6,2,1,7,.500,.500,.589,27.8,9.6,2,1.000,106,76,17.1
Chet Holmgren,2023-12-21,OKC,,LAC,29:33,23,6,7,0,0,.818,.667,.933,20.4,14.4,1,1.000,178,120,24.2
Chet Holmgren,2023-12-23,OKC,,LAL,34:04,19,10,0,1,3,.444,.167,.470,25.3,-3.0,0,.400,108,125,15.7
Chet Holmgren,2023-12-26,OKC,,MIN,28:51,20,4,5,0,1,.615,.500,.720,25.0,5.8,1,.500,136,114,16.5
Chet Holmgren,2023-12-27,OKC,,NYK,30:08,22,5,1,0,4,.643,.250,.698,24.2,5.5,0,.750,142,118,19.2
Chet Holmgren,2023-12-29,OKC,@,DEN,28:27,24,6,3,0,2,.643,1.000,.806,26.1,14.3,2,1.000,145,96,21.9
Chet Holmgren,2023-12-31,OKC,,BRK,32:22,18,10,3,0,2,.700,.600,.827,19.6,6.4,3,.500,121,103,15.7
Chet Holmgren,2024-01-02,OKC,,BOS,32:43,14,3,7,0,4,.556,.600,.709,14.7,10.3,1,.500,146,129,16.5
Chet Holmgren,2024-01-03,OKC,@,ATL,24:34,12,3,1,0,0,.556,.400,.667,22.0,-9.6,4,,85,142,4.9
Chet Holmgren,2024-01-05,OKC,@,BRK,34:59,17,6,3,1,1,.533,.000,.535,21.5,-2.5,1,.500,114,128,13.9
Chet Holmgren,2024-01-08,OKC,@,WAS,31:47,31,4,5,0,2,.786,.800,.885,23.5,14.3,0,.625,180,131,29.7
Chet Holmgren,2024-01-10,OKC,@,MIA,33:17,23,9,2,0,3,.667,.200,.705,25.2,1.6,2,.667,119,113,18.7
Chet Holmgren,2024-01-11,OKC,,POR,20:08,19,4,3,1,0,.692,.333,.684,28.9,9.5,0,.000,138,78,16.6
Chet Holmgren,2024-01-13,OKC,,ORL,31:33,15,8,3,1,2,.500,.200,.536,21.9,3.8,2,,105,100,13.7
Chet Holmgren,2024-01-15,OKC,@,LAL,30:29,9,8,4,1,3,.444,.250,.500,16.9,-1.5,3,,91,109,8.0
Chet Holmgren,2024-01-16,OKC,@,LAC,33:07,8,5,5,0,1,.200,.000,.316,19.0,-10.8,1,.667,88,140,4.1
Chet Holmgren,2024-01-18,OKC,@,UTA,31:55,15,5,5,0,4,.375,.333,.444,26.4,-6.0,3,.500,88,122,9.4
Chet Holmgren,2024-01-20,OKC,@,MIN,33:05,15,5,2,1,2,.500,.500,.705,14.8,6.5,0,1.000,152,102,15.1
Chet Holmgren,2024-01-23,OKC,,POR,32:26,8,10,3,0,6,.500,.000,.515,11.4,3.3,1,.500,109,100,12.5
Chet Holmgren,2024-01-24,OKC,@,SAS,30:08,17,9,4,1,3,.538,.500,.594,23.4,0.1,3,.333,120,110,15.9
Chet Holmgren,2024-01-26,OKC,@,NOP,30:16,20,13,0,1,2,.563,.333,.625,24.1,9.7,0,,125,78,19.1
Chet Holmgren,2024-01-28,OKC,@,DET,23:11,9,12,1,0,1,.364,.200,.393,24.0,-5.4,1,.000,83,116,6.9
Chet Holmgren,2024-01-29,OKC,,MIN,32:00,4,7,2,0,3,.222,.000,.222,16.4,-8.5,2,,54,114,2.5
Chet Holmgren,2024-01-31,OKC,,DEN,32:07,18,13,3,0,5,.538,.750,.648,21.8,12.6,2,.500,127,99,20.8
Chet Holmgren,2024-02-02,OKC,,CHO,23:20,16,6,3,1,2,.556,.500,.743,23.5,8.0,1,.750,136,100,16.2
Chet Holmgren,2024-02-04,OKC,,TOR,41:15,22,5,4,2,2,.529,.400,.647,21.6,4.9,2,,118,116,19.0
Chet Holmgren,2024-02-06,OKC,@,UTA,30:50,22,8,3,3,4,.615,.667,.745,22.5,14.8,1,.500,147,115,24.6
Chet Holmgren,2024-02-10,OKC,@,DAL,22:00,13,12,0,0,1,.571,.667,.742,16.3,3.7,0,.750,161,135,13.6
Chet Holmgren,2024-02-11,OKC,,SAC,30:44,14,4,2,2,4,.556,.000,.651,18.8,1.9,2,1.000,118,105,14.3
Chet Holmgren,2024-02-13,OKC,@,ORL,31:46,13,9,1,1,5,.500,.333,.666,15.4,2.3,1,1.000,132,105,14.7
Chet Holmgren,2024-02-22,OKC,,LAC,32:55,17,10,3,0,3,.500,.500,.638,21.7,1.1,3,.667,120,107,14.4
Chet Holmgren,2024-02-23,OKC,,WAS,23:04,25,10,0,0,2,.786,.400,.840,32.0,5.7,3,.500,127,91,20.2
Chet Holmgren,2024-02-25,OKC,@,HOU,33:12,29,8,7,1,3,.688,.625,.859,24.2,20.2,2,1.000,158,105,30.2
Chet Holmgren,2024-02-27,OKC,,HOU,33:35,18,13,2,1,3,.462,.250,.592,21.6,5.3,2,1.000,119,85,16.9
Chet Holmgren,2024-02-29,OKC,@,SAS,33:08,23,7,5,0,1,.667,.250,.786,20.8,10.4,1,1.000,156,133,22.7
Chet Holmgren,2024-03-03,OKC,@,PHO,31:35,14,9,2,1,0,.500,.000,.574,17.7,-1.7,1,.800,127,113,13.9
Chet Holmgren,2024-03-04,OKC,@,LAL,28:10,15,7,1,0,1,.429,.333,.519,22.2,-0.6,0,1.000,117,125,12.3
Chet Holmgren,2024-03-06,OKC,@,POR,33:11,21,14,5,0,1,.667,.250,.784,19.1,9.8,1,.800,162,119,24.1
Chet Holmgren,2024-03-08,OKC,,MIA,29:28,7,3,3,0,0,.333,.250,.389,14.1,-5.5,0,,94,115,4.5
Chet Holmgren,2024-03-10,OKC,,MEM,21:34,8,6,2,0,2,.400,.000,.400,27.5,-13.6,3,,74,94,3.8
Chet Holmgren,2024-03-12,OKC,,IND,35:25,15,13,3,0,2,.375,.500,.469,18.4,2.0,0,,112,117,13.6
