Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Jimmy Butler,2021-10-21,MIA,,MIL,29:02,21,4,6,1,0,.600,,.708,21.7,9.6,1,.818,153,91,20.2
Jimmy Butler,2021-10-23,MIA,@,IND,40:17,19,6,6,3,0,.318,.333,.393,31.1,2.6,4,.800,83,93,10.6
Jimmy Butler,2021-10-25,MIA,,ORL,32:55,36,3,2,5,0,.714,,.761,34.1,21.7,1,1.000,145,84,32.8
Jimmy Butler,2021-10-27,MIA,@,BRK,37:11,17,14,7,4,1,.333,,.412,25.1,9.3,3,.833,97,80,17.6
Jimmy Butler,2021-10-29,MIA,,CHO,36:27,32,10,5,1,1,.632,.333,.725,29.5,14.1,4,1.000,139,102,28.5
Jimmy Butler,2021-10-30,MIA,@,MEM,30:03,27,5,7,3,0,.667,.500,.802,24.9,18.9,1,.909,172,98,29.8
Jimmy Butler,2021-11-02,MIA,@,DAL,33:08,23,6,6,3,1,.364,.000,.622,27.6,9.8,1,.882,144,111,24.0
Jimmy Butler,2021-11-04,MIA,,BOS,38:15,20,4,2,1,0,.444,.000,.465,27.5,1.5,2,.500,95,112,10.6
Jimmy Butler,2021-11-06,MIA,,UTA,35:58,27,3,6,0,0,.733,,.765,27.7,5.2,3,.833,138,132,22.6
Jimmy Butler,2021-11-08,MIA,@,DEN,37:44,31,5,8,0,1,.556,.667,.679,29.7,16.0,1,.818,141,122,28.8
Jimmy Butler,2021-11-10,MIA,@,LAL,12:00,7,0,1,2,0,.333,.000,.673,18.3,12.2,0,1.000,153,99,8.0
Jimmy Butler,2021-11-11,MIA,@,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2021-11-13,MIA,@,UTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2021-11-15,MIA,@,OKC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2021-11-17,MIA,,NOP,36:34,31,10,10,0,1,.556,.500,.666,33.0,13.5,3,.833,139,107,29.7
Jimmy Butler,2021-11-18,MIA,,WAS,34:12,32,3,5,4,0,.579,.000,.684,34.7,16.3,1,1.000,141,99,30.9
Jimmy Butler,2021-11-20,MIA,@,WAS,38:28,29,5,4,2,0,.579,.000,.632,29.4,9.6,1,.778,132,112,24.2
Jimmy Butler,2021-11-23,MIA,@,DET,34:46,15,9,5,1,0,.308,.000,.442,26.3,-2.4,3,.778,103,102,11.7
Jimmy Butler,2021-11-24,MIA,@,MIN,38:41,16,8,5,1,0,.556,.000,.662,17.4,1.5,3,.857,117,110,14.8
Jimmy Butler,2021-11-27,MIA,@,CHI,36:22,18,4,5,5,0,.400,.000,.498,23.8,5.8,1,.857,112,100,17.8
Jimmy Butler,2021-11-29,MIA,,DEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2021-12-01,MIA,,CLE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2021-12-03,MIA,@,IND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Butler,2021-12-04,MIA,@,MIL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
