Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Nikola Jokic,2024-10-24,DEN,,OKC,35:12,16,12,13,2,1,.462,.333,.542,20.2,14.5,3,.750,117,99,21.7
Nikola Jokic,2024-10-26,DEN,,LAC,36:46,41,9,4,2,1,.538,.583,.694,41.9,18.8,5,.750,122,114,31.2
Nikola Jokic,2024-10-28,DEN,@,TOR,43:41,40,10,4,1,2,.667,.600,.717,29.9,12.2,3,.500,132,112,33.5
Nikola Jokic,2024-10-29,DEN,@,BRK,40:31,29,18,16,0,1,.563,,.668,25.9,17.2,1,.846,162,129,38.1
Nikola Jokic,2024-11-01,DEN,@,MIN,39:42,26,9,13,3,1,.500,.667,.637,23.6,16.4,3,.800,138,115,30.1
Nikola Jokic,2024-11-02,DEN,,UTA,29:42,27,16,9,1,0,.556,.750,.683,31.5,15.3,5,1.000,131,95,27.1
Nikola Jokic,2024-11-04,DEN,,TOR,38:12,28,14,13,1,2,.455,.200,.549,35.0,5.5,7,.875,114,113,26.1
Nikola Jokic,2024-11-06,DEN,,OKC,39:29,23,20,16,2,2,.450,.333,.508,27.7,12.3,5,.667,121,105,29.4
Nikola Jokic,2024-11-08,DEN,,MIA,40:00,30,11,14,2,0,.846,1.000,.933,23.6,14.2,5,1.000,162,117,35.4
Nikola Jokic,2024-11-10,DEN,,DAL,38:01,37,18,15,3,0,.619,1.000,.754,32.6,27.0,4,1.000,154,117,44.8
Nikola Jokic,2024-11-15,DEN,@,NOP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nikola Jokic,2024-11-17,DEN,@,MEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nikola Jokic,2024-11-19,DEN,@,MEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nikola Jokic,2024-11-22,DEN,,DAL,39:28,33,17,10,0,0,.591,1.000,.658,29.0,12.6,3,.714,139,121,33.5
Nikola Jokic,2024-11-23,DEN,@,LAL,36:37,34,13,8,2,1,.600,.429,.723,35.7,10.0,6,.875,126,95,30.2
Nikola Jokic,2024-11-25,DEN,,NYK,31:50,22,7,7,1,0,.450,.286,.527,27.4,7.3,0,1.000,127,144,20.4
Nikola Jokic,2024-11-27,DEN,@,UTA,33:37,30,10,7,1,1,.684,.667,.738,29.0,15.4,1,.667,154,107,30.9
Nikola Jokic,2024-12-01,DEN,@,LAC,39:04,28,14,11,1,1,.500,.286,.543,34.2,3.6,5,.500,109,120,23.8
Nikola Jokic,2024-12-03,DEN,,GSW,40:02,38,10,6,5,1,.583,.750,.680,35.0,14.2,4,.778,120,100,35.3
Nikola Jokic,2024-12-05,DEN,@,CLE,38:40,27,20,11,3,0,.500,.000,.511,30.0,10.5,3,1.000,109,108,27.7
Nikola Jokic,2024-12-07,DEN,@,WAS,38:39,56,16,8,1,0,.564,.500,.626,50.7,17.1,5,.692,124,118,43.1
Nikola Jokic,2024-12-08,DEN,@,ATL,35:03,48,14,8,3,0,.586,.500,.691,43.2,15.6,3,.846,137,94,43.9
Nikola Jokic,2024-12-13,DEN,,LAC,29:57,16,7,2,2,0,.667,1.000,.743,22.3,0.4,5,.500,97,93,11.0
Nikola Jokic,2024-12-16,DEN,@,SAC,38:18,20,14,13,2,1,.421,.167,.482,25.3,4.6,5,.750,105,113,21.3
Nikola Jokic,2024-12-19,DEN,@,POR,36:37,34,6,8,1,0,.722,.667,.860,27.8,12.7,3,1.000,150,128,30.4
Nikola Jokic,2024-12-22,DEN,@,NOP,42:34,27,13,10,1,1,.550,.667,.608,23.6,5.1,3,.600,124,108,25.0
Nikola Jokic,2024-12-23,DEN,,PHO,29:45,32,2,7,0,0,.706,.667,.833,30.5,21.5,1,.800,162,104,28.6
Nikola Jokic,2024-12-25,DEN,@,PHO,37:48,25,15,2,2,0,.526,.286,.602,27.2,8.9,2,.750,124,112,22.8
Nikola Jokic,2024-12-27,DEN,,CLE,35:45,27,14,13,3,0,.632,.000,.650,25.4,15.0,1,.750,150,134,34.2
Nikola Jokic,2024-12-28,DEN,,DET,37:14,37,9,8,0,0,.647,.800,.799,29.0,12.1,2,.786,158,123,33.4
Nikola Jokic,2024-12-30,DEN,@,UTA,38:18,36,22,11,4,0,.424,.333,.505,39.2,13.8,2,.833,125,110,37.2
Nikola Jokic,2025-01-01,DEN,,ATL,29:31,23,17,15,0,1,.500,1.000,.617,28.9,15.0,2,1.000,139,104,29.7
Nikola Jokic,2025-01-03,DEN,,SAS,36:39,41,18,9,2,0,.417,.300,.513,49.0,14.1,2,.889,112,103,33.5
Nikola Jokic,2025-01-04,DEN,@,SAS,43:19,46,9,10,2,2,.543,.375,.611,38.8,20.1,2,.833,127,102,40.2
Nikola Jokic,2025-01-07,DEN,,BOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nikola Jokic,2025-01-08,DEN,,LAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nikola Jokic,2025-01-10,DEN,,BRK,38:11,35,12,15,4,0,.667,1.000,.714,27.5,25.1,1,.750,160,97,43.8
Nikola Jokic,2025-01-12,DEN,@,DAL,38:38,19,18,9,3,0,.462,.000,.560,22.3,8.9,4,.778,118,94,22.2
Nikola Jokic,2025-01-14,DEN,@,DAL,28:56,10,14,10,2,0,.571,.500,.635,13.1,13.5,1,.500,155,92,18.1
Nikola Jokic,2025-01-15,DEN,,HOU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nikola Jokic,2025-01-17,DEN,@,MIA,30:37,24,12,10,1,0,.750,.500,.845,23.9,18.2,2,1.000,165,112,29.2
Nikola Jokic,2025-01-19,DEN,@,ORL,30:07,20,14,10,3,3,.778,,.828,20.1,28.5,2,.857,161,82,30.8
Nikola Jokic,2025-01-21,DEN,,PHI,30:21,27,13,10,4,1,.667,.667,.785,27.6,24.3,2,1.000,172,98,35.7
Nikola Jokic,2025-01-23,DEN,,SAC,37:23,35,22,17,1,2,.632,.667,.748,24.9,26.5,1,.900,169,102,45.2
Nikola Jokic,2025-01-25,DEN,@,MIN,32:24,20,3,11,0,0,.692,.500,.744,26.6,4.8,7,.000,109,142,16.1
Nikola Jokic,2025-01-27,DEN,@,CHI,39:43,33,12,14,1,1,.714,.250,.754,26.1,14.6,4,1.000,138,123,35.8
Nikola Jokic,2025-01-29,DEN,@,NYK,33:26,17,6,6,2,1,.400,.429,.535,23.7,5.4,2,1.000,114,119,14.4
Nikola Jokic,2025-01-31,DEN,@,PHI,37:28,28,9,13,2,0,.688,.667,.769,28.5,7.9,6,.800,137,133,28.2
Nikola Jokic,2025-02-01,DEN,@,CHO,36:33,28,13,17,4,1,.529,.286,.668,30.4,24.5,4,.889,131,93,35.4
Nikola Jokic,2025-02-03,DEN,,NOP,36:04,27,14,10,1,2,.692,.333,.776,22.4,19.6,1,.800,167,112,32.9
Nikola Jokic,2025-02-05,DEN,,NOP,35:42,38,8,10,1,1,.536,.385,.648,35.3,12.1,1,1.000,146,117,34.1
Nikola Jokic,2025-02-06,DEN,,ORL,31:07,28,10,12,2,0,.688,.500,.751,29.7,24.1,3,.667,145,84,30.0
Nikola Jokic,2025-02-08,DEN,@,PHO,28:38,26,11,9,0,0,.846,.500,.908,25.0,20.9,2,1.000,176,115,28.9
Nikola Jokic,2025-02-10,DEN,,POR,30:46,40,7,8,3,1,.682,.286,.784,43.4,14.6,5,1.000,135,107,36.6
