Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Paolo Banchero,2022-10-19,ORL,@,DET,35:20,27,9,5,0,2,.611,,.640,30.3,3.0,4,.714,119,111,20.4
Paolo Banchero,2022-10-21,ORL,@,ATL,33:38,20,12,2,1,3,.333,.167,.465,32.5,0.1,4,.875,89,100,13.9
Paolo Banchero,2022-10-22,ORL,,BOS,33:13,23,5,3,0,1,.316,.286,.482,32.7,-4.6,2,.818,107,131,13.6
Paolo Banchero,2022-10-24,ORL,@,NYK,33:35,21,4,2,2,0,.462,.000,.589,24.5,3.5,1,.818,126,119,15.9
Paolo Banchero,2022-10-26,ORL,@,CLE,36:59,29,8,4,1,2,.526,.600,.644,31.2,12.7,3,.750,120,105,23.1
Paolo Banchero,2022-10-28,ORL,,CHO,27:11,21,12,7,0,0,.571,.500,.615,31.1,10.3,2,.429,121,93,20.1
Paolo Banchero,2022-10-30,ORL,@,DAL,32:23,18,3,4,0,0,.300,.167,.383,36.1,-13.0,2,.625,85,127,4.9
Paolo Banchero,2022-11-01,ORL,@,OKC,37:26,15,8,2,1,0,.462,.000,.524,19.6,-5.9,4,1.000,90,111,9.1
Paolo Banchero,2022-11-03,ORL,,GSW,36:06,22,8,3,1,1,.471,.000,.525,29.4,-8.5,5,.667,95,122,12.1
Paolo Banchero,2022-11-05,ORL,,SAC,39:51,33,16,4,0,1,.538,.000,.585,33.0,3.7,1,1.000,121,114,27.3
Paolo Banchero,2022-11-07,ORL,,HOU,35:29,30,6,4,2,0,.500,.500,.677,32.0,-1.6,5,.857,121,127,21.2
Paolo Banchero,2022-11-09,ORL,,DAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paolo Banchero,2022-11-11,ORL,,PHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paolo Banchero,2022-11-14,ORL,,CHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paolo Banchero,2022-11-16,ORL,,MIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paolo Banchero,2022-11-18,ORL,@,CHI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paolo Banchero,2022-11-19,ORL,@,IND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paolo Banchero,2022-11-21,ORL,@,IND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paolo Banchero,2022-11-25,ORL,,PHI,35:44,19,4,3,1,0,.417,.333,.564,26.4,-3.3,4,.727,102,122,12.1
Paolo Banchero,2022-11-27,ORL,,PHI,31:14,18,1,1,0,0,.412,.250,.458,28.7,-12.3,0,.500,94,145,7.5
Paolo Banchero,2022-11-28,ORL,@,BRK,38:45,24,4,5,2,0,.529,1.000,.561,30.4,-1.0,5,.500,103,116,15.0
