Player,Date,TM,Home/Away,OPP,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc
Paul George,2020-12-22,LAC,@,LAL,35:46,33,6,3,1,0,.722,.625,.874,27.3,12.6,5,1.000,131,107,24.3
Paul George,2020-12-25,LAC,@,DEN,36:56,23,5,9,1,0,.571,.556,.773,26.5,6.4,6,1.000,122,118,18.8
Paul George,2020-12-27,LAC,,DAL,24:09,15,2,4,0,0,.308,.000,.454,42.1,-4.1,4,.875,80,139,6.1
Paul George,2020-12-29,LAC,,MIN,28:31,18,6,5,0,2,.500,.667,.699,26.3,2.6,4,1.000,111,103,13.5
Paul George,2020-12-30,LAC,,POR,28:27,23,10,7,2,0,.533,.444,.686,29.1,12.8,3,.750,126,101,21.8
Paul George,2021-01-01,LAC,@,UTA,37:44,25,8,4,6,1,.273,.385,.490,37.5,10.3,5,1.000,96,101,19.3
Paul George,2021-01-03,LAC,@,PHO,38:19,39,3,4,2,1,.625,.700,.784,36.9,14.0,5,1.000,124,113,27.2
Paul George,2021-01-05,LAC,,SAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paul George,2021-01-06,LAC,@,GSW,38:32,21,12,2,1,0,.333,.333,.554,23.5,2.5,2,1.000,120,103,15.7
Paul George,2021-01-08,LAC,@,GSW,39:08,25,4,7,0,1,.692,.714,.901,20.6,10.5,4,1.000,144,127,21.9
Paul George,2021-01-10,LAC,,CHI,39:56,28,7,9,2,0,.421,.625,.610,26.6,6.1,2,.778,135,128,25.9
Paul George,2021-01-13,LAC,,NOP,38:22,27,6,6,0,1,.500,.556,.708,28.8,6.5,3,.857,125,118,22.3
Paul George,2021-01-15,LAC,@,SAC,29:36,26,4,2,0,0,.571,.500,.781,28.3,3.3,2,1.000,151,112,19.2
Paul George,2021-01-17,LAC,,IND,33:41,20,7,4,1,0,.636,.400,.784,21.4,4.3,4,1.000,126,93,16.2
