Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_CHI,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
DeMar DeRozan,2022-10-19,36,37,6,9,2,1.0,0.636,0.667,0.689,31.0,19.9,1,0.636,146.0,104.0,34.6,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,6.0,9.0,2.0,1.0,0.636,0.667,0.636,31.0,146.0,104.0,34.6,0.0
DeMar DeRozan,2022-10-21,37,32,6,6,1,0.0,0.478,0.0,0.575,37.8,7.2,3,0.909,116.0,110.0,23.9,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.5,6.0,7.5,1.5,2.0,0.5569999999999999,0.3335,0.7725,34.4,131.0,107.0,29.25,0.989024
DeMar DeRozan,2022-10-22,33,13,2,1,2,0.0,0.333,0.0,0.538,17.0,-4.7,0,1.0,119.0,134.0,10.4,3,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33333333333333,4.666666666666667,5.333333333333333,1.6666666666666667,1.3333333333333333,0.4823333333333333,0.2223333333333333,0.8483333333333333,28.6,127.0,116.0,22.96666666666667,1.07396
DeMar DeRozan,2022-10-24,33,25,5,5,1,0.0,0.588,0.0,0.651,28.9,4.3,3,1.0,122.0,106.0,19.7,4,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,4.75,5.25,1.5,1.75,0.50875,0.16675,0.88625,28.675,125.75,113.5,22.15,1.17517
DeMar DeRozan,2022-10-26,32,17,1,6,0,0.0,0.429,0.0,0.525,24.9,-8.7,3,1.0,105.0,114.0,9.1,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,4.0,5.4,1.2,2.0,0.4928,0.1334,0.909,27.92,121.6,113.6,19.54,1.23568
DeMar DeRozan,2022-10-28,36,33,1,1,1,0.0,0.55,0.0,0.653,27.9,3.1,0,0.917,145.0,128.0,24.6,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.166666666666668,3.5,4.666666666666667,1.1666666666666667,1.6666666666666667,0.5023333333333334,0.1111666666666666,0.9103333333333332,27.916666666666668,125.5,116.0,20.383333333333336,1.26385
DeMar DeRozan,2022-10-29,34,24,3,4,0,0.0,0.583,0.5,0.732,25.8,2.2,4,0.9,124.0,121.0,16.9,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.857142857142858,3.4285714285714284,4.571428571428571,1.0,2.0,0.5138571428571429,0.1667142857142857,0.9088571428571428,27.61428571428571,125.28571428571428,116.71428571428572,19.885714285714283,0.924855
DeMar DeRozan,2022-11-01,33,20,4,1,3,0.0,0.381,0.5,0.448,31.9,-1.8,1,1.0,93.0,100.0,11.6,8,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.125,3.5,4.125,1.25,1.875,0.4972499999999999,0.208375,0.92025,28.15,121.25,114.625,18.85,1.01195
DeMar DeRozan,2022-11-02,28,9,8,5,1,1.0,0.182,0.0,0.341,26.9,-8.6,5,1.0,73.0,85.0,4.7,9,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333333333333,4.0,4.222222222222222,1.2222222222222223,2.2222222222222223,0.4622222222222222,0.1852222222222222,0.9291111111111112,28.01111111111111,115.88888888888889,111.33333333333331,17.27777777777778,1.08007
DeMar DeRozan,2022-11-04,36,46,3,5,2,1.0,0.565,0.0,0.704,41.8,14.1,2,0.909,141.0,116.0,38.2,10,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,3.9,4.3,1.3,2.2,0.4725,0.1667,0.9271,29.39,118.4,111.8,19.37,1.01232
