Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_MIN,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Karl-Anthony Towns,2021-10-20,29,30,10,2,2,2.0,0.733,0.75,0.872,27.8,13.9,3,1.0,152.0,100.0,29.5,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,2.0,2.0,3.0,0.733,0.75,1.0,27.8,152.0,100.0,29.5,0.0
Karl-Anthony Towns,2021-10-23,29,25,4,2,0,3.0,0.5,0.5,0.599,36.4,4.7,5,1.0,97.0,92.0,12.7,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,7.0,2.0,1.0,4.0,0.6165,0.625,1.0,32.1,124.5,96.0,21.1,1.23986
Karl-Anthony Towns,2021-10-25,40,32,14,7,2,2.0,0.417,0.4,0.581,32.8,15.3,3,1.0,121.0,105.0,29.9,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,9.333333333333334,3.6666666666666665,1.3333333333333333,3.6666666666666665,0.5499999999999999,0.5499999999999999,1.0,32.333333333333336,123.33333333333331,99.0,24.03333333333333,0.88612
Karl-Anthony Towns,2021-10-27,38,25,3,5,1,3.0,0.692,0.6,0.822,24.0,7.8,7,0.8,111.0,110.0,19.6,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,7.75,4.0,1.25,4.5,0.5854999999999999,0.5625,0.95,30.25,120.25,101.75,22.925,1.02927
Karl-Anthony Towns,2021-10-30,34,14,8,3,1,0.0,0.364,0.4,0.549,22.5,-2.2,5,1.0,94.0,99.0,8.0,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,7.8,3.8,1.2,4.6,0.5412,0.53,0.96,28.7,115.0,101.2,19.94,0.735294
Karl-Anthony Towns,2021-11-01,37,23,16,6,2,0.0,0.471,0.5,0.573,24.1,11.3,2,0.429,123.0,111.0,22.9,6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83333333333333,9.166666666666666,4.166666666666667,1.3333333333333333,4.166666666666667,0.5295,0.525,0.8715,27.933333333333334,116.33333333333331,102.83333333333331,20.433333333333334,1.08709
Karl-Anthony Towns,2021-11-03,36,18,11,3,4,0.0,0.375,0.375,0.52,23.0,0.3,3,1.0,107.0,119.0,15.6,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.857142857142858,9.428571428571429,4.0,1.7142857142857142,4.0,0.5074285714285713,0.5035714285714286,0.8898571428571429,27.228571428571428,115.0,105.14285714285714,19.74285714285714,0.914286
Karl-Anthony Towns,2021-11-05,32,20,8,0,1,0.0,0.636,0.6,0.812,24.4,0.8,6,1.0,97.0,100.0,10.9,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.375,9.25,3.5,1.625,4.25,0.5235,0.515625,0.903625,26.875,112.75,104.5,18.6375,1.12031
Karl-Anthony Towns,2021-11-08,43,25,12,3,1,2.0,0.45,0.333,0.563,27.7,1.1,5,0.8,109.0,124.0,18.9,9,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.55555555555556,9.555555555555555,3.4444444444444446,1.5555555555555556,4.333333333333333,0.5153333333333333,0.4953333333333333,0.8921111111111111,26.966666666666665,112.33333333333331,106.66666666666669,18.666666666666668,1.12058
Karl-Anthony Towns,2021-11-10,38,17,11,4,2,0.0,0.316,0.5,0.447,19.8,3.1,0,0.0,118.0,121.0,14.2,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,9.7,3.5,1.6,3.9,0.4953999999999999,0.4958,0.8029,26.25,112.9,108.1,18.22,1.04727
Karl-Anthony Towns,2021-11-12,30,29,7,2,2,1.0,0.647,0.5,0.791,25.1,23.0,0,1.0,166.0,82.0,27.3,11,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,9.4,3.5,1.6,3.6,0.4868,0.4708,0.8029,25.98,114.3,106.3,18.0,1.02083
Karl-Anthony Towns,2021-11-13,31,8,8,4,2,1.0,0.273,0.0,0.325,15.8,-2.9,0,0.667,87.0,119.0,9.0,12,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,9.8,3.7,1.8,3.1,0.4641,0.4208,0.7696,23.92,113.3,109.0,17.630000000000003,1.06784
Karl-Anthony Towns,2021-11-15,40,35,13,2,1,0.0,0.526,0.556,0.734,32.0,10.1,7,0.909,115.0,97.0,23.4,13,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,9.7,3.2,1.7,3.5,0.475,0.4364,0.7605000000000001,23.84,112.7,108.2,16.98,0.839425
