Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_IND,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Pascal Siakam,2024-10-23,32,19,8,9,2,0,0.533,0.333,0.582,22.5,12.7,0,0.667,141,110,23.2,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,9.0,2.0,0.0,0.533,0.333,0.667,22.5,141.0,110.0,23.2,0.0
Pascal Siakam,2024-10-25,23,12,5,2,0,0,0.455,0.0,0.505,26.6,-5.8,2,1.0,97,134,7.6,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,6.5,5.5,1.0,1.0,0.494,0.1665,0.8335,24.55,119.0,122.0,15.4,1.43167
Pascal Siakam,2024-10-27,40,17,5,6,0,1,0.636,0.5,0.715,14.3,5.5,1,0.5,138,113,16.3,3,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,5.666666666666667,0.6666666666666666,1.0,0.5413333333333333,0.2776666666666667,0.7223333333333333,21.133333333333336,125.33333333333331,119.0,15.7,1.07464
Pascal Siakam,2024-10-28,34,26,9,4,2,0,0.556,0.4,0.644,27.6,6.9,2,0.8,129,115,21.3,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,6.75,5.25,1.0,1.25,0.545,0.30825,0.74175,22.75,126.25,118.0,17.1,1.14444
Pascal Siakam,2024-10-30,38,29,11,5,0,0,0.55,0.75,0.666,25.0,8.9,2,0.25,134,121,24.2,5,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,7.6,5.2,0.8,1.4,0.546,0.3966,0.6434,23.2,127.8,118.6,18.52,1.02007
Pascal Siakam,2024-11-01,32,16,5,6,1,1,0.538,0.4,0.615,20.9,1.4,2,0.0,118,123,13.1,6,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.83333333333333,7.166666666666667,5.333333333333333,0.8333333333333334,1.5,0.5446666666666667,0.3971666666666666,0.5361666666666667,22.816666666666663,126.16666666666669,119.33333333333331,17.616666666666667,1.09086
Pascal Siakam,2024-11-04,36,23,6,4,0,0,0.625,0.5,0.681,21.2,2.5,1,1.0,136,126,19.4,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.285714285714285,7.0,5.142857142857143,0.7142857142857143,1.4285714285714286,0.5561428571428572,0.4118571428571428,0.6024285714285715,22.585714285714285,127.57142857142856,120.28571428571428,17.87142857142857,0.821454
Pascal Siakam,2024-11-06,33,17,4,3,0,0,0.462,0.0,0.559,22.1,-2.6,0,1.0,126,120,12.8,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.875,6.625,4.875,0.625,1.25,0.544375,0.360375,0.6521250000000001,22.525,127.375,120.25,17.2375,0.964881
Pascal Siakam,2024-11-08,34,27,4,3,3,0,0.647,0.714,0.755,27.5,15.3,2,0.0,119,106,22.2,9,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,6.333333333333333,4.666666666666667,0.8888888888888888,1.3333333333333333,0.5557777777777778,0.3996666666666666,0.5796666666666668,23.077777777777776,126.44444444444444,118.66666666666669,17.788888888888888,1.04454
Pascal Siakam,2024-11-10,34,14,8,3,0,0,0.385,0.333,0.504,17.9,-4.7,0,1.0,124,124,11.0,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.5,4.5,0.8,1.2,0.5387000000000001,0.393,0.6217,22.56,126.2,119.2,17.11,0.979422
