Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_TOR,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Scottie Barnes,37,17,8,5,2,5.0,0.375,0.25,0.456,26.4,3.8,4,0.667,85.0,87.0,14.8,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,5.0,2.0,4.0,0.375,0.25,0.667,26.4,85.0,87.0,14.8,0.0,0,2023,10,25,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
Scottie Barnes,39,22,10,10,0,2.0,0.643,0.5,0.698,27.0,8.3,7,0.75,107.0,93.0,18.2,2,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,9.0,7.5,1.0,5.5,0.509,0.375,0.7085,26.7,96.0,90.0,16.5,1.21509,1,2023,10,27,4,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
Scottie Barnes,37,24,8,5,0,2.0,0.688,0.4,0.75,20.5,9.9,1,0.0,148.0,122.0,22.7,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.666666666666666,6.666666666666667,0.6666666666666666,4.0,0.5686666666666667,0.3833333333333333,0.4723333333333333,24.633333333333336,113.33333333333331,100.66666666666669,18.566666666666663,1.13244,2,2023,10,28,5,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
Scottie Barnes,37,20,12,2,2,1.0,0.421,0.25,0.492,28.0,0.0,4,1.0,93.0,102.0,14.0,4,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.75,9.5,5.5,1.0,4.0,0.53175,0.35,0.60425,25.475,108.25,101.0,17.425,1.18616,3,2023,10,30,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
Scottie Barnes,29,21,12,5,1,2.0,0.5,0.667,0.639,28.8,10.3,3,1.0,133.0,110.0,21.1,5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,10.0,5.4,1.0,3.8,0.5254,0.4134,0.6834,26.14,113.2,102.8,18.16,1.08185,4,2023,11,1,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Scottie Barnes,35,24,8,8,0,0.0,0.563,0.286,0.676,24.2,11.0,1,1.0,143.0,118.0,22.6,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.33333333333333,9.666666666666666,5.833333333333333,0.8333333333333334,3.333333333333333,0.5316666666666666,0.3921666666666667,0.7361666666666666,25.816666666666663,118.16666666666669,105.33333333333331,18.9,0.92257,5,2023,11,2,3,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
Scottie Barnes,42,30,11,6,3,3.0,0.45,0.5,0.604,28.6,10.6,3,0.636,124.0,102.0,28.8,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.571428571428573,9.857142857142858,5.857142857142857,1.1428571428571428,3.2857142857142856,0.52,0.4075714285714286,0.7218571428571429,26.214285714285715,119.0,104.85714285714286,20.31428571428572,1.18323,6,2023,11,5,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Scottie Barnes,39,14,14,7,4,2.0,0.267,0.0,0.378,18.6,5.5,0,0.75,120.0,102.0,20.4,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,10.375,6.0,1.5,2.875,0.488375,0.356625,0.725375,25.2625,119.125,104.5,20.325,0.95394,7,2023,11,8,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Scottie Barnes,29,10,5,4,1,1.0,0.267,0.222,0.333,25.2,-3.7,1,0.0,75.0,118.0,6.1,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.22222222222222,9.77777777777778,5.777777777777778,1.4444444444444444,2.6666666666666665,0.4637777777777778,0.3416666666666667,0.6447777777777778,25.25555555555556,114.22222222222224,106.0,18.744444444444444,1.09828,8,2023,11,11,5,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
Scottie Barnes,38,19,9,4,5,0.0,0.471,0.0,0.506,21.3,2.9,1,0.75,118.0,98.0,19.4,10,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.1,9.7,5.6,1.8,2.5,0.4644999999999999,0.3075,0.6553,24.86,114.6,105.2,18.81,0.965109,9,2023,11,13,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
Scottie Barnes,31,29,9,7,1,0.0,0.579,1.0,0.684,29.9,13.4,3,0.8,137.0,138.0,26.5,11,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,9.8,5.8,1.7,2.4,0.4849,0.3825,0.6686,25.21,119.8,110.3,19.98,1.05928,10,2023,11,15,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Scottie Barnes,32,14,3,6,0,1.0,0.385,0.333,0.489,21.4,1.9,1,0.667,104.0,113.0,10.5,12,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,9.1,5.4,1.7,1.8,0.4591,0.3658,0.6603000000000001,24.65,119.5,112.3,19.21,1.12944,11,2023,11,17,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Scottie Barnes,25,17,7,9,0,0.0,0.636,0.75,0.773,21.9,9.2,3,0.0,135.0,111.0,17.9,13,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,9.0,5.8,1.7,2.0,0.4538999999999999,0.4008,0.6603000000000001,24.79,118.2,111.2,18.73,1.11283,12,2023,11,19,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Scottie Barnes,30,14,8,4,3,0.0,0.455,0.25,0.549,26.4,-3.6,5,0.75,87.0,113.0,10.7,14,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,8.6,6.0,1.8,2.1,0.4572999999999999,0.4008,0.6353000000000001,24.63,117.6,112.3,18.4,1.01454,13,2023,11,21,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Scottie Barnes,39,20,12,4,4,0.0,0.412,0.333,0.521,22.5,1.0,3,0.8,112.0,117.0,19.1,15,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,8.6,5.9,2.1,2.1,0.4484999999999999,0.3674,0.6153000000000001,24.0,115.5,113.0,18.2,1.34752,14,2023,11,22,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
Scottie Barnes,33,13,10,6,1,2.0,0.455,0.4,0.547,17.4,6.3,1,0.5,137.0,114.0,17.1,16,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.8,5.7,2.2,2.1,0.4377,0.3787999999999999,0.5653,23.32,114.9,112.6,17.65,1.20129,15,2023,11,24,4,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
Scottie Barnes,33,15,8,3,1,1.0,0.357,0.25,0.463,23.3,-0.1,2,0.8,99.0,106.0,11.0,17,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,8.5,5.4,2.0,2.0,0.4284,0.3538,0.5817,22.79,112.4,113.0,15.87,1.1106,16,2023,11,26,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
Scottie Barnes,36,17,11,6,3,0.0,0.263,0.429,0.401,25.2,1.5,1,0.8,100.0,111.0,14.8,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,8.2,5.3,1.9,2.1,0.428,0.3967,0.5867,23.45,110.4,113.9,15.310000000000002,1.1622,17,2023,11,28,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
Scottie Barnes,38,23,7,4,0,3.0,0.467,0.333,0.621,21.2,7.3,0,1.0,146.0,111.0,21.5,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.1,8.4,5.3,1.8,2.0,0.448,0.4078,0.6867000000000001,23.05,117.5,113.2,16.85,1.18216,18,2023,11,29,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
